dosage_form	spl_dosage_form
CAPSULE, HARD GELATIN	CAPSULE
CAPSULE, SOFT GELATIN	CAPSULE
CAPSULE, COATED, HARD GELATIN	CAPSULE, COATED
CAPSULE, COATED, SOFT GELATIN	CAPSULE, COATED
CAPSULE, FILM COATED	CAPSULE, COATED
CAPSULE, FILM COATED, HARD GELATIN	CAPSULE, COATED
CAPSULE (IMMED./COMP. RELEASE)	CAPSULE
CAPSULE (IMMED./COMP. RELEASE), HARD GELATIN	CAPSULE
CAPSULE (IMMED./COMP. RELEASE), SOFT GELATIN	CAPSULE
CAPSULE (IMMED./COMP. RELEASE), SOFT GELATIN, PERLE	CAPSULE
CAPSULE (IMMED./COMP. RELEASE), COATED, SOFT GELATIN	CAPSULE
CAPSULE, SUSTAINED ACTION, HARD GELATIN	CAPSULE, EXTENDED RELEASE
CAPSULE, SUSTAINED ACTION, SOFT GELATIN	CAPSULE, EXTENDED RELEASE
CAPSULE, SUSTAINED ACTION, COATED	CAPSULE, EXTENDED RELEASE
CAPSULE, SUSTAINED ACTION, COATED, HARD GELATIN	CAPSULE, EXTENDED RELEASE
CAPSULE, SUSTAINED ACTION, COATED, SOFT GELATIN	CAPSULE, EXTENDED RELEASE
CAPSULE, FILM COATED, EXTENDED RELEASE	CAPSULE, EXTENDED RELEASE
GRANULE, FOR ORAL SOLUTION	GRANULE, FOR SOLUTION
LIQUID, CONCENTRATE	CONCENTRATE
LIQUID, CONCENTRATE, INJECTION	INJECTION, SOLUTION
LIQUID, FOR INHALATION	LIQUID
LIQUID, WATER, STERILE, FOR INJECTION	INJECTION, SOLUTION
POWDER, AEROSOL	AEROSOL, POWDER
POWDER, AEROSOL, FOR INHALATION	POWDER
POWDER, FOR INJECTION SOLUTION, LYOPHILIZED, WITH ADDITIVES	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION
POWDER, FOR INJECTION SOLUTION, LYOPHILIZED, WITHOUT ADDITIVES	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION
POWDER, FOR INJECTION SUSPENSION	INJECTION, POWDER, FOR SUSPENSION
POWDER, FOR INJECTION SUSPENSION, LYOPHILIZED	INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION
POWDER FOR ORAL SOLUTION DOSAGE FORM	POWDER, FOR SOLUTION
POWDER, FOR ORAL SUSPENSION	POWDER, FOR SUSPENSION
POWDER, FOR INHALATION	POWDER
SOLUTION, AEROSOL	SOLUTION
SOLUTION, AEROSOL, FOR INHALATION	SOLUTION
SOLUTION, ELIXIR	SOLUTION
SOLUTION, ENEMA	ENEMA
INHALANT SOLUTION DOSAGE FORM	SOLUTION
INJECTION, SOLUTION	INJECTION, SOLUTION
SOLUTION, LIQUID	SOLUTION
SOLUTION, LIQUID, CONCENTRATE, INJECTION	INJECTION, SOLUTION, CONCENTRATE
SOLUTION, LIQUID, CONCENTRATE, ORAL	SOLUTION, CONCENTRATE
SOLUTION, SPRAY	SPRAY, METERED if ROUTE of ADMINISTRATION (ROA) is INHALATION; AEROSOL SPRAY or SPRAY, METERED if ROA is NASAL
SOLUTION, TINCTURE	TINCTURE
SUSPENSION, DROPS	SUSPENSION
SUSPENSION, ENEMA	ENEMA
SUSPENSION, FOR INHALATION	SUSPENSION
SUSPENSION, INJECTION	SUSPENSION
SUSPENSION, LIQUID	SUSPENSION
SUSPENSION, SYRUP	SUSPENSION
SUSPENSION, SYRUP, SUSTAINED ACTION	SUSPENSION
TABLET, MULTILAYER, FILM COATED	TABLET, FILM COATED
TABLET, UNCOATED, TROCHE	LOZENGE
TABLET (IMMED./COMP. RELEASE), SUGAR COATED	TABLET
TABLET (IMMED./COMP. RELEASE), MULTILAYER, COATED	TABLET
TABLET (IMMED./COMP. RELEASE), UNCOATED, BUCCAL	TABLET
TABLET (IMMED./COMP. RELEASE), UNCOATED, EFFERVESCENT	TABLET, EFFERVESCENT
TABLET, REPEAT ACTION	TABLET, EXTENDED RELEASE
TABLET, REPEAT ACTION, COATED	TABLET, EXTENDED RELEASE
TABLET, SUSTAINED ACTION, COATED	TABLET, EXTENDED RELEASE
TABLET, SUSTAINED ACTION, MULTILAYER, FILM COATED	TABLET, EXTENDED RELEASE
TABLET, SUSTAINED ACTION, UNCOATED	TABLET, EXTENDED RELEASE
DROPS	SOLUTION/ DROPS or SUSPENSION/ DROPS
ROD	IMPLANT
GRANULE, FOR RECONSTITUTION	GRANULE, FOR SOLUTION or GRANULE, FOR SUSPENSION
INFUSION	SOLUTION
INHALATION	INHALANT
INJECTION, SUSTAINED ACTION	INJECTION, SUSPENSION
CAPSULE, ENTERIC COATED PELLETS	CAPSULE, DELAYED RELEASE PELLETS
INJECTION, MICROSPHERES	POWDER, FOR SUSPENSION
MICROCAPSULES FOR INJECTION SUSPENSION, STERILE	INJECTION, SUSPENSION, EXTENDED RELEASE
GRANULE, ENTERIC COATED	GRANULE, DELAYED RELEASE
CREAM, EMULSION, SUSTAINED RELEASE	CREAM
SOLUTION, LIPOSOME, INJECTION	INJECTABLE, LIPOSOMAL
SOLUTION, SPRAY, METERED, PUMP	SPRAY, METERED
INJECTION, POWDER, FOR SUSPENSION	INJECTION, POWDER, FOR SUSPENSION
INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION	INJECTION, POWDER, FOR SUSPENSION
INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE	INJECTION, POWDER, FOR SUSPENSION
INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE	INJECTION, POWDER, FOR SUSPENSION
INJECTION, POWDER, LYOPHILIZED, FOR LIPOSOMAL SUSPENSION	INJECTION, POWDER, FOR SUSPENSION
CREAM, SUPPOSITORY	CREAM
SUSPENSION/DROPS	SUSPENSION
