route	cui
AURICULAR (OTIC)	C38192
BUCCAL	C38193
CONJUNCTIVAL	C38194
CUTANEOUS	C38675
DENTAL	C38197
ELECTRO-OSMOSIS	C38633
ENDOCERVICAL	C38205
ENDOSINUSIAL	C38206
ENDOTRACHEAL	C38208
ENTERAL	C38209
EPIDURAL	C38210
EXTRA-AMNIOTIC	C38211
EXTRACORPOREAL	C38212
HEMODIALYSIS	C38200
INFILTRATION	C38215
INTERSTITIAL	C38219
INTRA-ABDOMINAL	C38220
INTRA-AMNIOTIC	C38221
INTRA-ARTERIAL	C38222
INTRA-ARTICULAR	C38223
INTRABILIARY	C38224
INTRABRONCHIAL	C38225
INTRABURSAL	C38226
INTRACAMERAL	C64984
INTRACANALICULAR	C132737
INTRACARDIAC	C38227
INTRACARTILAGINOUS	C38228
INTRACAUDAL	C38229
INTRACAVERNOUS	C38230
INTRACAVITARY	C38231
INTRACEREBRAL	C38232
INTRACISTERNAL	C38233
INTRACORNEAL	C38234
INTRACORONAL, DENTAL	C38217
INTRACORONARY	C38218
INTRACORPORUS CAVERNOSUM	C38235
INTRACRANIAL	C38236
INTRADERMAL	C38238
INTRADISCAL	C38239
INTRADUCTAL	C38240
INTRADUODENAL	C38241
INTRADURAL	C38242
INTRAEPICARDIAL	C79144
INTRAEPIDERMAL	C38243
INTRAESOPHAGEAL	C38245
INTRAGASTRIC	C38246
INTRAGINGIVAL	C38247
INTRAHEPATIC	C38248
INTRAILEAL	C38249
INTRALESIONAL	C38250
INTRALINGUAL	C79138
INTRALUMINAL	C38251
INTRALYMPHATIC	C38252
INTRAMAMMARY	C79137
INTRAMEDULLARY	C38253
INTRAMENINGEAL	C38254
INTRAMUSCULAR	C28161
INTRANODAL	C79141
INTRAOCULAR	C38255
INTRAOMENTUM	C79142
INTRAOVARIAN	C38256
INTRAPERICARDIAL	C38257
INTRAPERITONEAL	C38258
INTRAPLEURAL	C38259
INTRAPROSTATIC	C38260
INTRAPULMONARY	C38261
INTRARUMINAL	C79139
INTRASINAL	C38262
INTRASPINAL	C38263
INTRASYNOVIAL	C38264
INTRATENDINOUS	C38265
INTRATESTICULAR	C38266
INTRATHECAL	C38267
INTRATHORACIC	C38207
INTRATUBULAR	C38268
INTRATUMOR	C38269
INTRATYMPANIC	C38270
INTRAUTERINE	C38272
INTRAVASCULAR	C38273
INTRAVENOUS	C38276
INTRAVENTRICULAR	C38277
INTRAVESICAL	C38278
INTRAVITREAL	C38280
IONTOPHORESIS	C38203
IRRIGATION	C38281
LARYNGEAL	C38282
NASAL	C38284
NASOGASTRIC	C38285
NOT APPLICABLE	C48623
OCCLUSIVE DRESSING TECHNIQUE	C38286
OPHTHALMIC	C38287
ORAL	C38288
OROPHARYNGEAL	C38289
PARENTERAL	C38291
PERCUTANEOUS	C38676
PERIARTICULAR	C38292
PERIDURAL	C38677
PERINEURAL	C38293
PERIODONTAL	C38294
RECTAL	C38295
RESPIRATORY (INHALATION)	C38216
RETROBULBAR	C38296
SOFT TISSUE	C38198
SUBARACHNOID	C38297
SUBCONJUNCTIVAL	C38298
SUBCUTANEOUS	C38299
SUBGINGIVAL	C65103
SUBLINGUAL	C38300
SUBMUCOSAL	C38301
SUBRETINAL	C79143
SUPRACHOROIDAL	C128997
TOPICAL	C38304
TRANSDERMAL	C38305
TRANSENDOCARDIAL	C79145
TRANSMUCOSAL	C38283
TRANSPLACENTAL	C38307
TRANSTRACHEAL	C38308
TRANSTYMPANIC	C38309
URETERAL	C38312
URETHRAL	C38271
VAGINAL	C38313
