route	spl_route
AN,CNBLK INTRATHECAL	INTRATHECAL
AN,INFILTRATION	INFILTRATION
AN,SYMPATHETIC NBLK	INFILTRATION
BUCCAL/SUBLINGUAL	BUCCAL
CAUDAL BLOCK	INTRACAUDAL
IM - IV	INTRAMUSCULAR and INTRAVENOUS
IM - IV - SC	INTRAMUSCULAR and INTRAVENOUS and SUBCUTANEOUS
IM - SC	INTRAMUSCULAR and SUBCUTANEOUS
IMPLANTATION	SUBCUTANEOUS or SOFT TISSUE
INHALATION	RESPIRATORY (INHALATION)
INJECTION	INTRAVENOUS
INTRATRACHEAL	ENDOTRACHEAL
INTRAVENOUS BOLUS	INTRAVENOUS
INTRAVENOUS INFUSION	INTRAVENOUS
IV - SC	INTRAVENOUS and SUBCUTANEOUS
IV(INFUSION)	INTRAVENOUS
NERVE BLOCK	INFILTRATION
ORAL-20	ORAL
ORAL-21	ORAL
ORAL-28	ORAL
OTIC	AURICULAR (OTIC)
PERFUSION, BILIARY	INTRABILIARY
PERFUSION, CARDIAC	INTRACARDIAC
PHOTOPHERESIS	EXTRACORPOREAL
SPINAL	INTRASPINAL
